#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
582        1        25        1        1,0,0        12.960707
354        2        24        3        3,0,0        9.264744
570        3        19        7        7,0,0        11.238964
363        4        18        9        6,9,0        10.577564
189        5        15        12        5,12,0        8.207378
183        6        4        15        10,15,0        8.976837
345        7        5        18        13,18,0        10.095451
406        7        20        31        26,31,0        12.474405
438        7        32        23        17,23,0        9.542982
12        9        11        28        16,28,0        8.762535
111        9        4        27        20,27,0        11.221241
97        10        11        30        21,30,0        10.444353
252        12        9        36        29,36,0        7.828945
55        13        16        42        33,42,0        11.364899
61        14        1        45        34,45,0        8.909395
220        14        30        47        38,47,0        11.477486
316        15        25        49        40,49,0        7.760543
163        16        20        53        44,53,0        11.153027
328        17        19        55        48,55,0        8.188515
#Threshold 0.200000    25    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Threshold 0.400000    25    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Threshold 0.600000    24    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    23    25    25    25    25    23    0    25    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Threshold 0.800000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
#Macrocel    #Threshold    #Rate[Hz]
1    0.400000    25    
2    0.200000    0    
3    0.600000    25    
4    0.200000    0    
5    0.600000    25    
6    0.600000    25    
7    0.600000    25    
8    0.200000    0    
9    0.600000    25    
10    0.600000    25    
11    0.200000    0    
12    0.600000    25    
13    0.600000    25    
14    0.200000    0    
15    0.600000    25    
16    0.600000    25    
17    0.600000    25    
18    0.600000    25    
19    0.200000    0    
20    0.600000    25    
21    0.600000    25    
22    0.200000    0    
23    0.600000    25    
24    0.200000    0    
25    0.200000    0    
26    0.400000    25    
27    0.600000    25    
28    0.600000    25    
29    0.600000    25    
30    0.600000    25    
31    0.400000    25    
32    0.200000    0    
33    0.600000    25    
34    0.600000    25    
35    0.200000    0    
36    0.600000    25    
37    0.200000    0    
38    0.600000    25    
39    0.200000    0    
40    0.600000    25    
41    0.200000    0    
42    0.600000    25    
43    0.200000    0    
44    0.600000    25    
45    0.600000    25    
46    0.200000    0    
47    0.600000    25    
48    0.600000    25    
49    0.600000    25    
50    0.200000    0    
51    0.200000    0    
52    0.200000    0    
53    0.600000    25    
54    0.200000    0    
55    0.600000    25    

#Macrocel    #Threshold    #Rate[Hz]
1    0.430000    25    
2    0.230000    0    
3    0.630000    25    
4    0.230000    0    
5    0.630000    25    
6    0.630000    25    
7    0.630000    25    
8    0.230000    0    
9    0.630000    25    
10    0.630000    25    
11    0.230000    0    
12    0.630000    25    
13    0.630000    25    
14    0.230000    0    
15    0.630000    25    
16    0.630000    25    
17    0.630000    25    
18    0.630000    25    
19    0.230000    0    
20    0.630000    25    
21    0.630000    24    
22    0.230000    0    
23    0.630000    25    
24    0.230000    0    
25    0.230000    0    
26    0.430000    25    
27    0.630000    25    
28    0.630000    25    
29    0.630000    25    
30    0.630000    24    
31    0.430000    25    
32    0.230000    0    
33    0.630000    25    
34    0.630000    25    
35    0.230000    0    
